,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3563105,2021-05-26 15:00:00,Setka Cup,Petr Kubat,Jachym Sebl,Jachym Sebl,4.333,Jachym Sebl,0-3,4.333,1
3563121,2021-05-26 13:20:00,Setka Cup,Volodymyr Kuzmych,Nazarii Sydorak,Nazarii Sydorak,3.0,Nazarii Sydorak,2-3,3.0,1
3563134,2021-05-26 13:10:00,Setka Cup Women,Yana Mykhailyk,Svitlana Yureneva,Yana Mykhailyk,5.0,Svitlana Yureneva,0-3,0.0,1
3563285,2021-05-26 09:30:00,Setka Cup,Ivan Krivoy,Vitalii Vasko,Ivan Krivoy,3.5,Vitalii Vasko,0-3,0.0,1
3563292,2021-05-26 11:30:00,Setka Cup,Vitalii Vasko,Oleh Yurenev,Oleh Yurenev,4.333,Oleh Yurenev,0-3,4.333,1
3563441,2021-05-26 09:45:00,Liga Pro,Igor Poletaev,Alexey Slashchilin,Igor Poletaev,6.0,Igor Poletaev,3-2,6.0,1
3563668,2021-05-26 09:30:00,Setka Cup,Bohdan Pyrtyk,Mykhailo Hlaholev,Bohdan Pyrtyk,4.5,Mykhailo Hlaholev,0-3,0.0,1
3564684,2021-05-26 20:25:00,Setka Cup,Serhii Pitsyk,Yevhenii Sokoltsov,Yevhenii Sokoltsov,4.333,Serhii Pitsyk,3-2,0.0,1
3564908,2021-05-26 17:45:00,Liga Pro,Ivan Moshkov,Dmitriy Tunitsyn,Ivan Moshkov,3.75,Dmitriy Tunitsyn,1-3,0.0,1
3565246,2021-05-26 17:30:00,TT Cup Ukraine,Dmytro Zeniuk,Oleksii Tkachuk,Oleksii Tkachuk,3.5,Dmytro Zeniuk,3-2,0.0,1
3565268,2021-05-26 21:20:00,Setka Cup,Dmytro Gudimenko,Nikita Vilenchyts,Dmytro Gudimenko,4.333,Dmytro Gudimenko,3-2,4.333,1
3565310,2021-05-26 13:30:00,TT Cup Ukraine,Roman Reznichenko,Andrii Herasymenko,Roman Reznichenko,3.25,Andrii Herasymenko,0-3,0.0,1
3565518,2021-05-27 01:15:00,Liga Pro,Denis Molodtsov,Igor Mihaylov,Igor Mihaylov,5.5,Denis Molodtsov,3-1,0.0,1
3565669,2021-05-26 15:40:00,TT Cup Ukraine,Igor Vatsyn,Viktor Bosak,Igor Vatsyn,4.333,Igor Vatsyn,3-2,4.333,1
3565679,2021-05-26 18:35:00,TT Cup Ukraine,Viktor Bosak,Volodymyr Tuchkevych,Viktor Bosak,3.75,Viktor Bosak,3-1,3.75,1
3565723,2021-05-26 15:35:00,TT Cup Ukraine,Dmytro Lohosha,Artem Tkachenko,Dmytro Lohosha,4.0,Artem Tkachenko,1-3,0.0,1
3565726,2021-05-26 17:55:00,TT Cup Ukraine,Andrey Troyan,Artem Tkachenko,Artem Tkachenko,3.25,Andrey Troyan,3-2,0.0,1
3565770,2021-05-27 00:25:00,Setka Cup,Dmytro Rehotun,Oleksandr Kovalchuk,Oleksandr Kovalchuk,3.25,Dmytro Rehotun,3-2,0.0,1
3565776,2021-05-26 21:55:00,Setka Cup,Oleksandr Gomilko,Oleksandr Lysenko,Oleksandr Lysenko,3.25,Oleksandr Lysenko,2-3,3.25,1
3566345,2021-05-27 06:05:00,Setka Cup,Valerii Voloshko,Volodymyr Butko,Volodymyr Butko,4.0,Volodymyr Butko,2-3,4.0,1
3566409,2021-05-27 06:00:00,Setka Cup,Serhii Ponomarov,Ihor Kvak,Serhii Ponomarov,3.25,Serhii Ponomarov,3-1,3.25,1
3566410,2021-05-27 06:30:00,Setka Cup,Serhii Hot,Yaroslav Tebenko,Serhii Hot,4.5,Serhii Hot,3-2,4.5,1
3566412,2021-05-27 07:30:00,Setka Cup,Serhii Ponomarov,Serhii Hot,Serhii Hot,4.5,Serhii Ponomarov,3-1,0.0,1
3566413,2021-05-27 08:00:00,Setka Cup,Volodymyr Hera,Yaroslav Tebenko,Yaroslav Tebenko,4.333,Volodymyr Hera,3-2,0.0,1
3566414,2021-05-27 08:30:00,Setka Cup,Serhii Hot,Ihor Kvak,Serhii Hot,4.333,Serhii Hot,3-1,4.333,1
3566416,2021-05-27 09:30:00,Setka Cup,Volodymyr Hera,Serhii Hot,Serhii Hot,6.0,Volodymyr Hera,3-1,0.0,1
3566868,2021-05-27 13:05:00,Setka Cup,Serhii Chelpanov,Sergey Tkachev,Serhii Chelpanov,3.25,Serhii Chelpanov,3-1,3.25,1
3566877,2021-05-27 12:35:00,Setka Cup,Yevhen Kyi,Ilya Kanunnikov,Ilya Kanunnikov,4.333,Ilya Kanunnikov,2-3,4.333,1
3566932,2021-05-27 20:50:00,Setka Cup,Anatolii Nazarov,Andrii Matiushenko,Anatolii Nazarov,3.75,Andrii Matiushenko,0-3,0.0,1
3567024,2021-05-27 07:10:00,Setka Cup Women,Svitlana Yureneva,Yana Mykhailyk,Yana Mykhailyk,5.0,Svitlana Yureneva,3-0,0.0,1
3567197,2021-05-27 23:15:00,Liga Pro,Evgeniy Ilyukhin,Vasily Shirshov,Vasily Shirshov,7.0,Evgeniy Ilyukhin,3-0,0.0,1
3567199,2021-05-27 21:15:00,Liga Pro,Vasily Shirshov,Anatoly Ilin,Vasily Shirshov,7.0,Anatoly Ilin,2-3,0.0,1
3567237,2021-05-27 22:15:00,Liga Pro,Nikolay Zhurba,Artem Tsitselskii,Nikolay Zhurba,3.0,Artem Tsitselskii,0-3,0.0,1
3567271,2021-05-27 13:15:00,Liga Pro,Andrey Duka,Aleksandr Poprocky,Aleksandr Poprocky,3.75,Andrey Duka,3-1,0.0,1
